shipment_id,transaction_id,date,carrier,service_type,weight_lbs,shipping_cost,origin_zip,destination_zip
SHP00046,TXN02445,2024-07-05,UPS,standard,0.97,4.7,95060,90210
SHP00047,TXN02465,2024-07-05,USPS,standard,20.36,32.88,95060,60601
SHP00048,TXN02516,2024-07-02,UPS,freight,81.73,83.5,95060,97201
SHP00049,TXN02705,2024-07-05,FedEx,freight,81.92,92.22,95060,97201
SHP00050,TXN02853,2024-07-04,UPS,expedited,10.6,58.53,95060,19103
SHP00051,TXN02987,2024-07-03,USPS,expedited,40.75,200.33,95060,06103
SHP00052,TXN03301,2024-07-02,USPS,standard,2.99,9.33,95060,90210
SHP00053,TXN03348,2024-07-02,FedEx,standard,4.99,15.6,95060,30301
SHP00054,TXN03424,2024-07-04,UPS,overnight,20.86,183.63,95060,85001
SHP00055,TXN03607,2024-07-04,FedEx,overnight,41.05,543.57,95060,63101
SHP00056,TXN03645,2024-07-04,FedEx,standard,41.14,100.08,95060,89101
SHP00057,TXN03727,2024-07-04,USPS,standard,20.55,48.85,95060,37201
SHP00058,TXN03899,2024-07-05,UPS,standard,10.39,29.25,95060,02101
SHP00059,TXN04049,2024-07-02,USPS,freight,81.79,72.72,95060,32801
SHP00060,TXN04089,2024-07-02,USPS,standard,2.63,10.18,95060,33101
SHP00061,TXN04150,2024-07-04,FedEx,standard,0.87,6.05,95060,10001
SHP00062,TXN04495,2024-07-03,USPS,freight,10.33,8.47,95060,94102
SHP00063,TXN04703,2024-07-05,USPS,expedited,5.27,31.41,95060,43201
SHP00064,TXN04866,2024-07-03,UPS,standard,20.76,49.9,95060,55401
SHP00065,TXN04970,2024-07-04,USPS,standard,20.69,41.34,95060,48201
SHP00066,TXN00019,2024-07-06,FedEx,standard,1.83,6.2,95060,85001
SHP00067,TXN00045,2024-07-06,FedEx,standard,10.19,26.23,95060,37201
SHP00068,TXN00104,2024-07-06,USPS,standard,20.8,49.21,95060,02101
SHP00069,TXN00662,2024-07-06,UPS,standard,2.19,8.13,95060,75201
SHP00070,TXN00724,2024-07-05,UPS,freight,1.76,3.91,95060,02101
SHP00071,TXN00946,2024-07-05,UPS,expedited,1.66,11.34,95060,02101
SHP00072,TXN01182,2024-07-05,UPS,standard,20.7,32.41,95060,97201
SHP00073,TXN01295,2024-07-04,FedEx,expedited,10.54,45.04,95060,97201
SHP00074,TXN01317,2024-07-04,UPS,standard,20.45,37.6,95060,02101
SHP00075,TXN01348,2024-07-06,USPS,standard,0.89,5.15,95060,10001
SHP00076,TXN01491,2024-07-03,USPS,expedited,10.22,45.52,95060,19103
SHP00077,TXN01530,2024-07-04,UPS,expedited,41.13,211.6,95060,55401
SHP00078,TXN01639,2024-07-05,FedEx,expedited,1.33,8.84,95060,02101
SHP00079,TXN01688,2024-07-04,FedEx,standard,122.57,262.69,95060,63101
SHP00080,TXN01748,2024-07-06,USPS,standard,20.88,45.01,95060,02101
SHP00081,TXN01898,2024-07-03,FedEx,standard,10.49,25.47,95060,02101
SHP00082,TXN02022,2024-07-04,USPS,freight,40.74,41.23,95060,19103
SHP00083,TXN02037,2024-07-04,USPS,freight,5.05,8.71,95060,89101
SHP00084,TXN02072,2024-07-04,USPS,standard,1.99,6.19,95060,85001
SHP00085,TXN02244,2024-07-05,FedEx,expedited,20.68,83.62,95060,32801
SHP00086,TXN02271,2024-07-06,USPS,expedited,20.23,84.37,95060,55401
SHP00087,TXN02323,2024-07-06,UPS,standard,41.01,90.82,95060,55401
SHP00088,TXN02437,2024-07-04,FedEx,standard,0.76,4.56,95060,33101
SHP00089,TXN03294,2024-07-06,UPS,standard,20.38,36.42,95060,27601
SHP00090,TXN03312,2024-07-06,FedEx,freight,81.86,75.31,95060,33101
SHP00091,TXN03368,2024-07-03,UPS,freight,41.12,38.0,95060,02101
SHP00092,TXN03448,2024-07-05,USPS,standard,20.76,33.06,95060,21201
SHP00093,TXN03700,2024-07-06,FedEx,standard,20.62,28.87,95060,43201
SHP00094,TXN03996,2024-07-03,FedEx,standard,0.95,6.61,95060,60601
SHP00095,TXN04279,2024-07-06,FedEx,expedited,41.13,205.29,95060,89101
SHP00096,TXN04286,2024-07-05,USPS,standard,1.31,5.58,95060,10001
SHP00097,TXN04442,2024-07-04,FedEx,standard,20.49,53.82,95060,90210
SHP00098,TXN00036,2024-07-04,FedEx,standard,20.54,34.14,95060,63101
SHP00099,TXN00145,2024-07-05,USPS,freight,0.81,5.54,95060,98101
SHP00100,TXN00370,2024-07-05,USPS,overnight,20.22,275.75,95060,89101
SHP00101,TXN00542,2024-07-06,USPS,standard,20.26,41.06,95060,27601
SHP00102,TXN00580,2024-07-06,UPS,freight,40.88,31.37,95060,94102
SHP00103,TXN00790,2024-07-05,UPS,standard,5.3,15.29,95060,48201
SHP00104,TXN00844,2024-07-06,UPS,standard,10.61,20.01,95060,90210
SHP00105,TXN00894,2024-07-06,FedEx,standard,20.36,41.0,95060,63101
SHP00106,TXN01490,2024-07-06,FedEx,standard,20.83,43.73,95060,06103
SHP00107,TXN01680,2024-07-04,USPS,freight,40.66,29.74,95060,89101
SHP00108,TXN01749,2024-07-07,USPS,standard,10.25,26.72,95060,90210
SHP00109,TXN01918,2024-07-04,FedEx,standard,5.26,11.97,95060,06103
SHP00110,TXN02276,2024-07-04,UPS,freight,40.96,31.71,95060,85001
SHP00111,TXN02877,2024-07-05,USPS,standard,1.34,7.72,95060,90210
SHP00112,TXN02905,2024-07-04,FedEx,standard,20.47,53.21,95060,10001
SHP00113,TXN03001,2024-07-05,FedEx,freight,41.11,31.45,95060,89101
SHP00114,TXN03066,2024-07-05,USPS,freight,122.51,112.62,95060,97201
SHP00115,TXN03167,2024-07-05,USPS,overnight,20.69,275.85,95060,27601
SHP00116,TXN03986,2024-07-04,FedEx,overnight,20.69,289.49,95060,90210
SHP00117,TXN03990,2024-07-05,FedEx,standard,10.11,16.7,95060,60601
SHP00118,TXN04019,2024-07-05,FedEx,overnight,10.05,114.35,95060,37201
SHP00119,TXN04289,2024-07-06,USPS,standard,10.28,16.49,95060,94102
SHP00120,TXN04411,2024-07-04,USPS,standard,20.24,37.46,95060,10001
SHP00121,TXN04665,2024-07-05,UPS,standard,40.9,97.48,95060,94102
SHP00122,TXN04694,2024-07-05,UPS,standard,40.83,84.72,95060,90210
SHP00123,TXN04863,2024-07-07,UPS,expedited,81.95,360.17,95060,89101
SHP00124,TXN00501,2024-07-05,UPS,overnight,20.69,220.64,95060,55401
SHP00125,TXN00674,2024-07-05,FedEx,standard,40.65,91.02,95060,97201
SHP00126,TXN00921,2024-07-05,USPS,overnight,5.44,74.5,95060,90210
SHP00127,TXN00957,2024-07-08,UPS,expedited,41.16,171.19,95060,97201
SHP00128,TXN00967,2024-07-05,FedEx,standard,41.08,97.91,95060,94102
SHP00129,TXN01170,2024-07-08,FedEx,standard,10.3,22.87,95060,90210
SHP00130,TXN01174,2024-07-08,FedEx,standard,41.29,57.61,95060,85001
SHP00131,TXN01238,2024-07-08,FedEx,standard,20.79,46.35,95060,30301
SHP00132,TXN02921,2024-07-07,UPS,standard,40.87,97.76,95060,63101
SHP00133,TXN03166,2024-07-07,USPS,freight,82.02,91.77,95060,33101
SHP00134,TXN03236,2024-07-08,FedEx,standard,10.53,22.24,95060,97201
SHP00135,TXN03421,2024-07-06,FedEx,freight,40.88,44.54,95060,90210
SHP00136,TXN03462,2024-07-05,FedEx,overnight,122.31,1482.49,95060,19103
SHP00137,TXN03691,2024-07-08,UPS,standard,10.5,17.07,95060,85001
SHP00138,TXN03794,2024-07-05,UPS,standard,20.72,42.3,95060,30301
SHP00139,TXN03946,2024-07-07,UPS,standard,10.11,24.66,95060,48201
SHP00140,TXN04325,2024-07-05,USPS,standard,2.14,6.61,95060,33101
SHP00141,TXN04451,2024-07-06,UPS,expedited,20.7,79.67,95060,97201
SHP00142,TXN00126,2024-07-07,USPS,standard,20.77,53.88,95060,43201
SHP00143,TXN00336,2024-07-09,USPS,standard,5.39,16.58,95060,43201
SHP00144,TXN01090,2024-07-07,USPS,overnight,1.53,18.84,95060,33101
SHP00145,TXN01131,2024-07-09,USPS,freight,122.81,126.69,95060,89101
SHP00146,TXN01262,2024-07-09,UPS,overnight,20.31,230.18,95060,02101
SHP00147,TXN01298,2024-07-08,FedEx,standard,5.22,10.82,95060,19103
SHP00148,TXN01443,2024-07-07,UPS,expedited,5.59,24.03,95060,55401
SHP00149,TXN01628,2024-07-07,FedEx,standard,82.03,204.87,95060,02101
SHP00150,TXN01675,2024-07-08,FedEx,overnight,81.79,888.6,95060,06103
SHP00151,TXN01744,2024-07-09,FedEx,standard,20.47,28.7,95060,43201
SHP00152,TXN01836,2024-07-09,UPS,freight,40.69,47.62,95060,85001
SHP00153,TXN01838,2024-07-08,USPS,standard,20.46,46.61,95060,27601
SHP00154,TXN01887,2024-07-06,FedEx,expedited,5.08,31.01,95060,19103
SHP00155,TXN02362,2024-07-08,UPS,standard,10.61,22.79,95060,48201
SHP00156,TXN02378,2024-07-06,USPS,expedited,20.8,83.63,95060,55401
SHP00157,TXN02451,2024-07-09,UPS,expedited,10.59,43.88,95060,97201
SHP00158,TXN02724,2024-07-07,FedEx,standard,2.77,8.79,95060,90210
SHP00159,TXN03034,2024-07-06,FedEx,standard,4.94,14.21,95060,60601
SHP00160,TXN03140,2024-07-09,USPS,expedited,40.92,169.43,95060,10001
SHP00161,TXN03195,2024-07-07,UPS,standard,5.02,12.16,95060,90210
SHP00162,TXN03221,2024-07-08,FedEx,standard,1.58,5.19,95060,85001
SHP00163,TXN03505,2024-07-09,FedEx,standard,20.71,41.45,95060,19103
SHP00164,TXN04029,2024-07-09,UPS,standard,41.28,74.36,95060,90210
SHP00165,TXN04104,2024-07-07,USPS,freight,40.69,41.3,95060,89101
SHP00166,TXN04309,2024-07-07,FedEx,standard,1.68,5.6,95060,10001
SHP00167,TXN04409,2024-07-08,USPS,expedited,1.1,9.74,95060,85001
SHP00168,TXN04762,2024-07-09,UPS,freight,40.98,43.45,95060,55401
SHP00169,TXN04976,2024-07-08,USPS,freight,122.59,140.13,95060,90210
SHP00170,TXN00239,2024-07-08,FedEx,standard,4.92,12.66,95060,10001
SHP00171,TXN00271,2024-07-09,USPS,expedited,5.56,27.04,95060,97201
SHP00172,TXN01078,2024-07-09,FedEx,expedited,20.77,111.77,95060,48201
SHP00173,TXN01329,2024-07-10,USPS,expedited,10.64,62.94,95060,06103
SHP00174,TXN01403,2024-07-08,FedEx,standard,2.65,8.55,95060,90210
SHP00175,TXN01618,2024-07-08,FedEx,standard,5.08,13.7,95060,89101
SHP00176,TXN01761,2024-07-09,UPS,standard,10.34,17.63,95060,85001
SHP00177,TXN02025,2024-07-07,FedEx,overnight,1.52,18.03,95060,75201
SHP00178,TXN02196,2024-07-09,UPS,expedited,10.29,55.68,95060,90210
SHP00179,TXN02320,2024-07-07,UPS,freight,122.57,138.26,95060,06103
SHP00180,TXN02471,2024-07-07,FedEx,freight,82.09,101.03,95060,43201
SHP00181,TXN02590,2024-07-07,FedEx,standard,10.66,20.18,95060,63101
SHP00182,TXN02623,2024-07-07,UPS,expedited,10.53,51.33,95060,85001
SHP00183,TXN02738,2024-07-10,UPS,overnight,20.84,252.91,95060,85001
SHP00184,TXN03464,2024-07-08,UPS,expedited,10.34,41.47,95060,37201
SHP00185,TXN03525,2024-07-10,UPS,freight,81.53,81.12,95060,85001
SHP00186,TXN04138,2024-07-10,UPS,standard,10.53,20.47,95060,85001
SHP00187,TXN04865,2024-07-09,UPS,overnight,10.64,104.96,95060,94102
SHP00188,TXN04946,2024-07-08,FedEx,overnight,40.94,546.76,95060,97201
SHP00189,TXN00062,2024-07-10,USPS,standard,10.52,21.22,95060,90210
SHP00190,TXN00091,2024-07-10,FedEx,expedited,10.57,63.5,95060,48201
SHP00191,TXN00198,2024-07-10,UPS,expedited,10.17,54.9,95060,89101
SHP00192,TXN00280,2024-07-11,FedEx,overnight,10.45,101.51,95060,89101
SHP00193,TXN00469,2024-07-08,FedEx,freight,122.46,145.18,95060,94102
SHP00194,TXN00507,2024-07-08,UPS,standard,2.62,10.81,95060,02101
SHP00195,TXN00557,2024-07-09,FedEx,expedited,82.08,307.86,95060,55401
SHP00196,TXN00754,2024-07-08,FedEx,standard,20.76,52.0,95060,89101
SHP00197,TXN01107,2024-07-11,UPS,expedited,81.6,347.94,95060,37201
SHP00198,TXN01322,2024-07-11,USPS,standard,5.05,15.4,95060,63101
SHP00199,TXN01629,2024-07-10,UPS,standard,10.1,15.03,95060,90210
SHP00200,TXN01637,2024-07-08,UPS,expedited,10.31,52.18,95060,97201
SHP00201,TXN01958,2024-07-10,USPS,freight,122.53,95.38,95060,06103
SHP00202,TXN02088,2024-07-08,FedEx,standard,1.27,5.85,95060,33101
SHP00203,TXN02309,2024-07-10,UPS,freight,41.24,37.44,95060,63101
SHP00204,TXN02333,2024-07-08,USPS,freight,40.97,31.21,95060,21201
SHP00205,TXN02718,2024-07-08,UPS,standard,20.37,45.86,95060,85001
SHP00206,TXN02729,2024-07-11,FedEx,standard,10.45,24.51,95060,33101
SHP00207,TXN02886,2024-07-11,FedEx,freight,122.51,78.1,95060,60601
SHP00208,TXN02890,2024-07-11,USPS,overnight,41.22,456.0,95060,43201
SHP00209,TXN03010,2024-07-10,FedEx,standard,5.09,16.83,95060,37201
SHP00210,TXN03226,2024-07-09,FedEx,overnight,20.43,273.7,95060,37201
SHP00211,TXN03423,2024-07-09,USPS,standard,20.21,31.72,95060,85001
SHP00212,TXN03475,2024-07-10,UPS,expedited,20.26,100.01,95060,27601
SHP00213,TXN03615,2024-07-10,UPS,standard,1.96,9.64,95060,10001
SHP00214,TXN03703,2024-07-11,USPS,freight,40.9,44.08,95060,90210
SHP00215,TXN03739,2024-07-10,UPS,standard,10.64,16.5,95060,94102
SHP00216,TXN03743,2024-07-09,UPS,freight,10.58,11.68,95060,90210
SHP00217,TXN03894,2024-07-09,UPS,freight,41.05,49.77,95060,85001
SHP00218,TXN04000,2024-07-09,UPS,standard,10.1,29.68,95060,60601
SHP00219,TXN04107,2024-07-08,FedEx,standard,10.05,29.0,95060,43201
SHP00220,TXN04285,2024-07-09,UPS,standard,10.61,28.24,95060,97201
SHP00221,TXN04291,2024-07-10,USPS,standard,5.21,15.79,95060,02101
SHP00222,TXN04347,2024-07-09,FedEx,expedited,20.43,85.85,95060,48201
SHP00223,TXN04764,2024-07-11,UPS,overnight,20.33,280.06,95060,10001
SHP00224,TXN04908,2024-07-10,UPS,overnight,1.76,23.83,95060,98101
SHP00225,TXN00013,2024-07-11,USPS,standard,20.24,41.66,95060,27601
SHP00226,TXN00537,2024-07-11,USPS,standard,20.47,46.07,95060,55401
SHP00227,TXN00714,2024-07-09,USPS,freight,41.12,37.59,95060,33101
SHP00228,TXN00788,2024-07-11,UPS,freight,41.2,43.98,95060,02101
SHP00229,TXN00864,2024-07-11,FedEx,standard,0.7,4.21,95060,98101
SHP00230,TXN01003,2024-07-11,FedEx,expedited,20.52,100.23,95060,30301
SHP00231,TXN01122,2024-07-10,UPS,freight,40.7,39.61,95060,30301
SHP00232,TXN01194,2024-07-09,FedEx,standard,20.4,36.19,95060,37201
SHP00233,TXN01447,2024-07-12,FedEx,overnight,10.59,101.63,95060,85001
SHP00234,TXN01626,2024-07-09,UPS,standard,20.61,37.28,95060,89101
SHP00235,TXN01715,2024-07-09,FedEx,standard,3.75,12.13,95060,33101
SHP00236,TXN01793,2024-07-09,FedEx,expedited,20.86,87.45,95060,90210
SHP00237,TXN02870,2024-07-09,FedEx,standard,20.46,42.34,95060,55401
SHP00238,TXN02896,2024-07-12,UPS,freight,40.9,38.6,95060,85001
SHP00239,TXN03322,2024-07-12,FedEx,freight,81.79,101.82,95060,10001
SHP00240,TXN03493,2024-07-09,USPS,standard,10.5,20.65,95060,32801
SHP00241,TXN03508,2024-07-11,UPS,standard,1.15,4.2,95060,33101
SHP00242,TXN03619,2024-07-09,USPS,expedited,0.68,7.07,95060,10001
SHP00243,TXN03655,2024-07-09,UPS,standard,1.2,4.91,95060,10001
SHP00244,TXN03744,2024-07-10,FedEx,standard,4.92,15.25,95060,85001
SHP00245,TXN03860,2024-07-10,FedEx,freight,122.33,117.88,95060,94102
SHP00246,TXN04116,2024-07-09,USPS,standard,0.8,5.54,95060,02101
SHP00247,TXN04351,2024-07-12,FedEx,standard,2.12,7.87,95060,90210
SHP00248,TXN04448,2024-07-10,FedEx,standard,5.44,12.52,95060,30301
SHP00249,TXN04676,2024-07-11,FedEx,freight,40.74,47.72,95060,85001
SHP00250,TXN04788,2024-07-11,USPS,standard,10.49,21.56,95060,85001
SHP00251,TXN04858,2024-07-12,USPS,standard,2.15,7.15,95060,98101
SHP00252,TXN04951,2024-07-10,UPS,expedited,10.23,45.79,95060,94102
SHP00253,TXN00059,2024-07-13,USPS,expedited,10.59,61.55,95060,85001
SHP00254,TXN00148,2024-07-10,UPS,expedited,1.03,9.41,95060,60601
SHP00255,TXN00879,2024-07-12,FedEx,standard,1.6,7.47,95060,75201
SHP00256,TXN01451,2024-07-10,FedEx,expedited,20.25,99.34,95060,19103
SHP00257,TXN01741,2024-07-13,USPS,expedited,82.05,359.1,95060,85001
SHP00258,TXN01812,2024-07-13,USPS,freight,41.24,38.31,95060,10001
SHP00259,TXN01832,2024-07-12,FedEx,standard,41.11,102.23,95060,89101
SHP00260,TXN01846,2024-07-12,UPS,freight,41.24,34.37,95060,94102
SHP00261,TXN02166,2024-07-12,FedEx,standard,4.94,10.26,95060,90210
SHP00262,TXN02666,2024-07-12,UPS,standard,40.83,87.35,95060,30301
SHP00263,TXN02683,2024-07-12,FedEx,standard,10.07,17.28,95060,97201
SHP00264,TXN02688,2024-07-11,UPS,freight,122.7,108.85,95060,33101
SHP00265,TXN02746,2024-07-13,USPS,standard,5.4,15.16,95060,32801
SHP00266,TXN02784,2024-07-10,USPS,freight,81.43,65.29,95060,27601
SHP00267,TXN02872,2024-07-13,FedEx,expedited,20.21,98.5,95060,90210
SHP00268,TXN03311,2024-07-10,FedEx,expedited,122.83,493.28,95060,06103
SHP00269,TXN04356,2024-07-12,UPS,standard,5.2,8.64,95060,32801
SHP00270,TXN04486,2024-07-13,FedEx,standard,5.56,17.12,95060,90210
SHP00271,TXN04682,2024-07-12,UPS,standard,2.44,6.88,95060,10001
SHP00272,TXN04729,2024-07-11,UPS,expedited,40.66,180.91,95060,06103
SHP00273,TXN04963,2024-07-12,FedEx,expedited,40.89,239.2,95060,90210
SHP00274,TXN04979,2024-07-11,FedEx,freight,81.48,94.97,95060,37201
SHP00275,TXN00055,2024-07-14,UPS,freight,40.6,32.79,95060,90210
SHP00276,TXN00097,2024-07-14,FedEx,overnight,10.42,109.9,95060,94102
SHP00277,TXN00206,2024-07-12,UPS,expedited,20.46,113.77,95060,06103
SHP00278,TXN00295,2024-07-13,FedEx,expedited,20.83,85.39,95060,94102
SHP00279,TXN00311,2024-07-13,UPS,standard,10.19,26.38,95060,32801
SHP00280,TXN00377,2024-07-11,UPS,expedited,10.21,56.02,95060,10001
SHP00281,TXN00781,2024-07-13,UPS,standard,10.15,19.18,95060,94102
SHP00282,TXN00849,2024-07-11,FedEx,standard,5.44,15.21,95060,89101
SHP00283,TXN01367,2024-07-13,UPS,standard,5.59,10.69,95060,06103
SHP00284,TXN01833,2024-07-11,USPS,standard,10.04,26.39,95060,02101
SHP00285,TXN01964,2024-07-12,USPS,expedited,20.72,109.36,95060,85001
SHP00286,TXN02075,2024-07-14,USPS,standard,20.23,44.49,95060,48201
SHP00287,TXN02085,2024-07-11,USPS,standard,20.24,36.56,95060,89101
SHP00288,TXN02133,2024-07-12,UPS,freight,81.45,82.41,95060,89101
SHP00289,TXN02334,2024-07-13,USPS,expedited,81.67,452.54,95060,48201
SHP00290,TXN02352,2024-07-13,USPS,expedited,122.79,638.18,95060,90210
SHP00291,TXN02488,2024-07-13,FedEx,standard,40.61,81.3,95060,06103
SHP00292,TXN02550,2024-07-11,USPS,expedited,0.76,6.05,95060,90210
SHP00293,TXN02586,2024-07-11,USPS,standard,20.8,29.86,95060,85001
SHP00294,TXN02698,2024-07-11,USPS,freight,81.81,83.32,95060,02101
SHP00295,TXN02734,2024-07-12,FedEx,expedited,20.67,94.23,95060,06103
SHP00296,TXN03175,2024-07-14,FedEx,overnight,20.75,227.31,95060,10001
SHP00297,TXN03569,2024-07-11,USPS,expedited,41.05,210.13,95060,37201
SHP00298,TXN03813,2024-07-12,USPS,standard,10.42,22.24,95060,94102
SHP00299,TXN04456,2024-07-11,FedEx,overnight,10.63,114.82,95060,21201
SHP00300,TXN04485,2024-07-14,FedEx,freight,41.15,36.78,95060,19103
SHP00301,TXN04859,2024-07-14,USPS,standard,20.45,30.53,95060,85001
SHP00302,TXN04931,2024-07-13,FedEx,standard,10.17,26.62,95060,89101
SHP00303,TXN00232,2024-07-14,UPS,standard,10.26,22.81,95060,60601
SHP00304,TXN00476,2024-07-12,USPS,expedited,41.09,191.98,95060,60601
SHP00305,TXN00598,2024-07-12,USPS,freight,81.81,61.76,95060,89101
SHP00306,TXN00699,2024-07-15,USPS,standard,1.72,6.38,95060,33101
SHP00307,TXN00819,2024-07-13,FedEx,freight,40.72,34.84,95060,85001
SHP00308,TXN00824,2024-07-14,FedEx,standard,10.08,22.29,95060,27601
SHP00309,TXN00997,2024-07-12,FedEx,standard,20.88,50.17,95060,85001
SHP00310,TXN01142,2024-07-14,UPS,freight,41.0,38.06,95060,90210
SHP00311,TXN01286,2024-07-14,FedEx,freight,41.08,29.49,95060,90210
SHP00312,TXN01358,2024-07-13,USPS,expedited,122.41,537.67,95060,97201
SHP00313,TXN01515,2024-07-15,FedEx,standard,1.06,4.62,95060,33101
SHP00314,TXN01533,2024-07-15,USPS,expedited,5.16,33.45,95060,89101
SHP00315,TXN01677,2024-07-12,FedEx,standard,20.82,49.37,95060,85001
SHP00316,TXN01796,2024-07-14,UPS,expedited,20.61,88.04,95060,97201
SHP00317,TXN02520,2024-07-13,FedEx,expedited,10.42,43.84,95060,90210
SHP00318,TXN02808,2024-07-12,USPS,freight,40.95,51.54,95060,94102
SHP00319,TXN02836,2024-07-13,USPS,standard,5.16,17.37,95060,90210
SHP00320,TXN02930,2024-07-12,UPS,standard,5.25,14.41,95060,85001
SHP00321,TXN03242,2024-07-14,USPS,standard,81.53,188.52,95060,48201
SHP00322,TXN03315,2024-07-12,UPS,expedited,40.78,218.74,95060,10001
SHP00323,TXN03376,2024-07-15,UPS,freight,122.37,82.83,95060,43201
SHP00324,TXN03588,2024-07-14,FedEx,freight,40.63,34.18,95060,60601
SHP00325,TXN03781,2024-07-12,FedEx,standard,10.54,18.42,95060,90210
SHP00326,TXN03791,2024-07-13,UPS,overnight,20.32,213.37,95060,89101
SHP00327,TXN04010,2024-07-14,FedEx,standard,20.78,41.88,95060,33101
SHP00328,TXN00017,2024-07-16,FedEx,standard,20.76,30.91,95060,85001
SHP00329,TXN00088,2024-07-15,USPS,standard,81.85,110.92,95060,27601
SHP00330,TXN00346,2024-07-14,USPS,freight,41.01,42.74,95060,27601
SHP00331,TXN00547,2024-07-14,USPS,standard,5.33,12.54,95060,89101
SHP00332,TXN01019,2024-07-15,USPS,expedited,10.63,55.6,95060,10001
SHP00333,TXN01229,2024-07-13,UPS,freight,40.62,42.98,95060,55401
SHP00334,TXN01462,2024-07-15,FedEx,freight,40.95,34.1,95060,21201
SHP00335,TXN02283,2024-07-14,FedEx,standard,20.76,33.12,95060,30301
SHP00336,TXN02626,2024-07-16,FedEx,freight,1.14,3.26,95060,90210
SHP00337,TXN02741,2024-07-13,UPS,standard,2.39,8.48,95060,60601
SHP00338,TXN02788,2024-07-14,FedEx,standard,40.78,91.49,95060,97201
SHP00339,TXN02862,2024-07-16,UPS,overnight,10.33,133.42,95060,94102
SHP00340,TXN02960,2024-07-15,UPS,standard,5.2,15.97,95060,43201
SHP00341,TXN03064,2024-07-14,USPS,freight,2.15,6.9,95060,85001
